date_utc,pi_ma110,pi_ma350x2
2011-04-17,0.7124837979975887,0.8154720470844392
2011-04-18,0.7203075215247393,0.8215267188229822
2011-04-19,0.7282819559474729,0.8278226445263314
2011-04-20,0.7358686765312947,0.8337191195266638
2011-04-21,0.7440429006034089,0.8400939526899004
2011-04-22,0.7539933968360529,0.8480012467098084
2011-04-23,0.7677671112594185,0.8592400601309177
2011-04-24,0.7798120141400899,0.8688206512838186
2011-04-25,0.7912132180617204,0.8777894870747638
2011-04-26,0.8044737999352363,0.8883187056248456
2011-04-27,0.8189348446064416,0.899807025354699
2011-04-28,0.8366442542083288,0.9142057779282843
2011-04-29,0.8594163721363095,0.9329050138739226
2011-04-30,0.8880379937579311,0.9565123873607945
2011-05-01,0.9129716654108815,0.9767912351111596
2011-05-02,0.9388582419874582,0.9977302650914254
2011-05-03,0.9662617202073496,1.0197435002540127
2011-05-04,0.9941092251383472,1.0419565370142714
2011-05-05,1.0206294654856496,1.063504311181355
2011-05-06,1.048278795075321,1.085734907598563
2011-05-07,1.0775983714518145,1.1092076009621348
2011-05-08,1.1091224108839994,1.1340684656903721
2011-05-09,1.1405737584706275,1.1584072277149626
2011-05-10,1.188669947680878,1.1964032081530176
2011-05-11,1.2341632003280316,1.2325341741213574
2011-05-12,1.287451206583264,1.2750517325397224
2011-05-13,1.3568115609832514,1.3306184658809017
2011-05-14,1.4159542981845086,1.3774224112417808
2011-05-15,1.474558125612755,1.4232769232926223
2011-05-16,1.5419017359296763,1.4758300535749076
2011-05-17,1.603542406297882,1.5234160719240468
2011-05-18,1.660677211364199,1.5670630197524045
2011-05-19,1.7187462166611385,1.6113138322343068
2011-05-20,1.7654047411529008,1.6460606864037544
2011-05-21,1.8159241883019788,1.6839151491681001
2011-05-22,1.8716612979370375,1.725993991212249
2011-05-23,1.9289382949357896,1.770295846841864
2011-05-24,1.9890934819661865,1.8166838372952077
2011-05-25,2.06004295286198,1.8710167998370995
2011-05-26,2.1318555336087113,1.9264701357687632
2011-05-27,2.2004770380289704,1.9797477653480795
2011-05-28,2.2676055886579163,2.031392644205195
2011-05-29,2.3352770490388113,2.08303779910125
2011-05-30,2.406099954125663,2.1369599145374165
