symbol,ts_utc,open,high,low,close,volume_usd
ADAUSDT,2024-10-13 00:00:00+00:00,0.3528,0.3595,0.3441,0.3483,96131565.6849
ADAUSDT,2024-10-14 00:00:00+00:00,0.3483,0.3654,0.342,0.3642,138097508.1085
ADAUSDT,2024-10-15 00:00:00+00:00,0.3645,0.3712,0.3474,0.359,224281914.7594
ADAUSDT,2024-10-16 00:00:00+00:00,0.3591,0.3611,0.3507,0.3521,125170660.6745
ADAUSDT,2024-10-17 00:00:00+00:00,0.352,0.355,0.3391,0.3431,153198618.7917
ADAUSDT,2024-10-18 00:00:00+00:00,0.343,0.3529,0.3424,0.3506,93287825.0357
ADAUSDT,2024-10-19 00:00:00+00:00,0.3505,0.3569,0.3488,0.3512,72340368.4774
ADAUSDT,2024-10-20 00:00:00+00:00,0.3513,0.3658,0.348,0.3648,91554347.0747
ADAUSDT,2024-10-21 00:00:00+00:00,0.3649,0.373,0.3531,0.3609,133707477.1967
ADAUSDT,2024-10-22 00:00:00+00:00,0.3609,0.3682,0.3549,0.3644,153336278.3144
ADAUSDT,2024-10-23 00:00:00+00:00,0.3644,0.3693,0.342,0.3495,183561610.632
ADAUSDT,2024-10-24 00:00:00+00:00,0.3495,0.355,0.3393,0.3464,134036787.1959
ADAUSDT,2024-10-25 00:00:00+00:00,0.3463,0.3472,0.312,0.3257,224137401.5207
ADAUSDT,2024-10-26 00:00:00+00:00,0.3257,0.3348,0.3203,0.3334,93162126.2544
ADAUSDT,2024-10-27 00:00:00+00:00,0.3335,0.3423,0.3307,0.3397,56492226.7421
ADAUSDT,2024-10-28 00:00:00+00:00,0.3396,0.348,0.3301,0.3435,125719319.9075
ADAUSDT,2024-10-29 00:00:00+00:00,0.3435,0.357,0.3426,0.3562,111321791.2603
ADAUSDT,2024-10-30 00:00:00+00:00,0.3563,0.3641,0.3507,0.355,119402994.8333
ADAUSDT,2024-10-31 00:00:00+00:00,0.3551,0.3615,0.3402,0.3416,141533355.2305
ADAUSDT,2024-11-01 00:00:00+00:00,0.3416,0.362,0.3337,0.3575,197002939.5556
ADAUSDT,2024-11-02 00:00:00+00:00,0.3575,0.364,0.3451,0.3482,137159291.4555
ADAUSDT,2024-11-03 00:00:00+00:00,0.3481,0.3482,0.3271,0.3339,156240552.7466
ADAUSDT,2024-11-04 00:00:00+00:00,0.3338,0.3366,0.32,0.3261,126342901.9022
ADAUSDT,2024-11-05 00:00:00+00:00,0.3262,0.3381,0.3258,0.3335,109667648.812
ADAUSDT,2024-11-06 00:00:00+00:00,0.3334,0.3661,0.3334,0.3632,238716214.2155
ADAUSDT,2024-11-07 00:00:00+00:00,0.3631,0.4071,0.3614,0.4068,271834373.517
ADAUSDT,2024-11-08 00:00:00+00:00,0.4068,0.459,0.404,0.4448,833741256.336
