symbol,ts_utc,borrow_ir
BNB,2023-09-22 00:00:00+00,0.27398400000000000000
BNB,2023-09-23 00:00:00+00,0.27398400000000000000
BNB,2023-09-24 00:00:00+00,0.27398400000000000000
BNB,2023-09-25 00:00:00+00,0.27398400000000000000
BNB,2023-09-26 00:00:00+00,0.27398400000000000000
BNB,2023-09-27 00:00:00+00,0.27398400000000000000
BNB,2023-09-28 00:00:00+00,0.27398400000000000000
BNB,2023-09-29 00:00:00+00,0.27398400000000000000
BNB,2023-09-30 00:00:00+00,0.27398400000000000000
BNB,2023-10-01 00:00:00+00,0.27398400000000000000
BNB,2023-10-02 00:00:00+00,0.27398400000000000000
BNB,2023-10-03 00:00:00+00,0.27398400000000000000
BNB,2023-10-04 00:00:00+00,0.27398400000000000000
BNB,2023-10-05 00:00:00+00,0.27398400000000000000
BNB,2023-10-06 00:00:00+00,0.27398400000000000000
BNB,2023-10-07 00:00:00+00,0.27398400000000000000
BNB,2023-10-08 00:00:00+00,0.27398400000000000000
BNB,2023-10-09 00:00:00+00,0.27398400000000000000
BNB,2023-10-10 00:00:00+00,0.32877600000000000000
BNB,2023-10-11 00:00:00+00,0.32877600000000000000
BNB,2023-10-12 00:00:00+00,0.41095200000000000000
BNB,2023-10-13 00:00:00+00,0.41095200000000000000
BNB,2023-10-14 00:00:00+00,0.41095200000000000000
BNB,2023-10-15 00:00:00+00,0.41095200000000000000
BNB,2023-10-16 00:00:00+00,0.41095200000000000000
BNB,2023-10-17 00:00:00+00,0.41095200000000000000
BNB,2023-10-18 00:00:00+00,0.41095200000000000000
BNB,2023-10-19 00:00:00+00,0.41095200000000000000
BNB,2023-10-20 00:00:00+00,0.41095200000000000000
BNB,2023-10-21 00:00:00+00,0.41095200000000000000
BNB,2023-10-22 00:00:00+00,0.41095200000000000000
BNB,2023-10-23 00:00:00+00,0.41095200000000000000
BNB,2023-10-24 00:00:00+00,0.41095200000000000000
BNB,2023-10-25 00:00:00+00,0.41095200000000000000
BNB,2023-10-26 00:00:00+00,0.41095200000000000000
BNB,2023-10-27 00:00:00+00,0.41095200000000000000
BNB,2023-10-28 00:00:00+00,0.41095200000000000000
BNB,2023-10-29 00:00:00+00,0.41095200000000000000
BNB,2023-10-30 00:00:00+00,0.41095200000000000000
BNB,2023-10-31 00:00:00+00,0.41095200000000000000
BNB,2023-11-01 00:00:00+00,0.41095200000000000000
BNB,2023-11-02 00:00:00+00,0.41095200000000000000
BNB,2023-11-03 00:00:00+00,0.41095200000000000000
BNB,2023-11-04 00:00:00+00,0.41095200000000000000
BNB,2023-11-05 00:00:00+00,0.41095200000000000000
BNB,2023-11-06 00:00:00+00,0.41095200000000000000
BNB,2023-11-07 00:00:00+00,0.41095200000000000000
BNB,2023-11-08 00:00:00+00,0.41095200000000000000
BNB,2023-11-09 00:00:00+00,0.41095200000000000000
BNB,2023-11-10 00:00:00+00,0.41095200000000000000
BNB,2023-11-11 00:00:00+00,0.41095200000000000000
BNB,2023-11-12 00:00:00+00,0.41095200000000000000
BNB,2023-11-13 00:00:00+00,0.41095200000000000000
BNB,2023-11-14 00:00:00+00,0.41095200000000000000
BNB,2023-11-15 00:00:00+00,0.41095200000000000000
BNB,2023-11-16 00:00:00+00,0.41095200000000000000
BNB,2023-11-17 00:00:00+00,0.41095200000000000000
BNB,2023-11-18 00:00:00+00,0.41095200000000000000
BNB,2023-11-19 00:00:00+00,0.41095200000000000000
BNB,2023-11-20 00:00:00+00,0.41095200000000000000
BNB,2023-11-21 00:00:00+00,0.41095200000000000000
BNB,2023-11-22 00:00:00+00,0.41095200000000000000
BNB,2023-11-23 00:00:00+00,0.41095200000000000000
BNB,2023-11-24 00:00:00+00,0.41095200000000000000
BNB,2023-11-25 00:00:00+00,0.41095200000000000000
BNB,2023-11-26 00:00:00+00,0.41095200000000000000
BNB,2023-11-27 00:00:00+00,0.41095200000000000000
BNB,2023-11-28 00:00:00+00,0.41095200000000000000
BNB,2023-11-29 00:00:00+00,0.41095200000000000000
BNB,2023-11-30 00:00:00+00,0.41095200000000000000
BNB,2023-12-01 00:00:00+00,0.41095200000000000000
BNB,2023-12-02 00:00:00+00,0.41095200000000000000
BNB,2023-12-03 00:00:00+00,0.41095200000000000000
BNB,2023-12-04 00:00:00+00,0.41095200000000000000
BNB,2023-12-05 00:00:00+00,0.41095200000000000000
BNB,2023-12-06 00:00:00+00,0.41095200000000000000
BNB,2023-12-07 00:00:00+00,0.41095200000000000000
BNB,2023-12-08 00:00:00+00,0.41095200000000000000
BNB,2023-12-09 00:00:00+00,0.41095200000000000000
BNB,2023-12-10 00:00:00+00,0.41095200000000000000
BNB,2023-12-11 00:00:00+00,0.41095200000000000000
BNB,2023-12-12 00:00:00+00,0.41095200000000000000
BNB,2023-12-13 00:00:00+00,0.41095200000000000000
BNB,2023-12-14 00:00:00+00,0.41095200000000000000
BNB,2023-12-15 00:00:00+00,0.41095200000000000000
BNB,2023-12-16 00:00:00+00,0.41095200000000000000
BNB,2023-12-17 00:00:00+00,0.41095200000000000000
BNB,2023-12-18 00:00:00+00,0.41095200000000000000
BNB,2023-12-19 00:00:00+00,0.41095200000000000000
BNB,2023-12-20 00:00:00+00,0.41095200000000000000
BNB,2023-12-21 00:00:00+00,0.41095200000000000000
BNB,2023-12-22 00:00:00+00,0.41095200000000000000
BNB,2023-12-23 00:00:00+00,0.41095200000000000000
BNB,2023-12-24 00:00:00+00,0.41095200000000000000
BNB,2023-12-25 00:00:00+00,0.41095200000000000000
BNB,2023-12-26 00:00:00+00,0.41095200000000000000
BNB,2023-12-27 00:00:00+00,0.41095200000000000000
BNB,2023-12-28 00:00:00+00,0.41095200000000000000
BNB,2023-12-29 00:00:00+00,0.41095200000000000000
BNB,2023-12-30 00:00:00+00,0.41095200000000000000
BNB,2023-12-31 00:00:00+00,0.41095200000000000000
BTC,2023-08-01 00:00:00+00,0.00390000000000000000
BTC,2023-08-02 00:00:00+00,0.00392000000000000000
BTC,2023-08-03 00:00:00+00,0.00400100000000000000
BTC,2023-08-04 00:00:00+00,0.00399800000000000000
BTC,2023-08-05 00:00:00+00,0.00413100000000000000
BTC,2023-08-06 00:00:00+00,0.00421600000000000000
BTC,2023-08-07 00:00:00+00,0.00421600000000000000
BTC,2023-08-08 00:00:00+00,0.00407500000000000000
BTC,2023-08-09 00:00:00+00,0.00395200000000000000
BTC,2023-08-10 00:00:00+00,0.00416100000000000000
BTC,2023-08-11 00:00:00+00,0.00420500000000000000
BTC,2023-08-12 00:00:00+00,0.00424800000000000000
BTC,2023-08-13 00:00:00+00,0.00420100000000000000
BTC,2023-08-14 00:00:00+00,0.00420100000000000000
BTC,2023-08-15 00:00:00+00,0.00422000000000000000
BTC,2023-08-16 00:00:00+00,0.00421900000000000000
BTC,2023-08-17 00:00:00+00,0.00408300000000000000
BTC,2023-08-18 00:00:00+00,0.00374200000000000000
BTC,2023-08-19 00:00:00+00,0.00418500000000000000
BTC,2023-08-20 00:00:00+00,0.00402300000000000000
BTC,2023-08-21 00:00:00+00,0.00398600000000000000
BTC,2023-08-22 00:00:00+00,0.00387400000000000000
BTC,2023-08-23 00:00:00+00,0.00408000000000000000
BTC,2023-08-24 00:00:00+00,0.00392000000000000000
BTC,2023-08-25 00:00:00+00,0.00432100000000000000
BTC,2023-08-26 00:00:00+00,0.00427500000000000000
BTC,2023-08-27 00:00:00+00,0.00428800000000000000
BTC,2023-08-28 00:00:00+00,0.00428900000000000000
BTC,2023-08-29 00:00:00+00,0.00432200000000000000
BTC,2023-08-30 00:00:00+00,0.00419900000000000000
BTC,2023-08-31 00:00:00+00,0.00414900000000000000
BTC,2023-09-01 00:00:00+00,0.00407300000000000000
BTC,2023-09-02 00:00:00+00,0.00412800000000000000
BTC,2023-09-03 00:00:00+00,0.00426700000000000000
BTC,2023-09-04 00:00:00+00,0.00418200000000000000
BTC,2023-09-05 00:00:00+00,0.00421900000000000000
BTC,2023-09-06 00:00:00+00,0.00416400000000000000
BTC,2023-09-07 00:00:00+00,0.00417200000000000000
BTC,2023-09-08 00:00:00+00,0.00419400000000000000
BTC,2023-09-09 00:00:00+00,0.00415100000000000000
BTC,2023-09-10 00:00:00+00,0.00412900000000000000
BTC,2023-09-11 00:00:00+00,0.00442400000000000000
BTC,2023-09-12 00:00:00+00,0.00417200000000000000
BTC,2023-09-13 00:00:00+00,0.00419500000000000000
BTC,2023-09-14 00:00:00+00,0.00423000000000000000
BTC,2023-09-15 00:00:00+00,0.00453900000000000000
BTC,2023-09-16 00:00:00+00,0.00453400000000000000
BTC,2023-09-17 00:00:00+00,0.00432600000000000000
BTC,2023-09-18 00:00:00+00,0.00425900000000000000
BTC,2023-09-19 00:00:00+00,0.00432100000000000000
BTC,2023-09-20 00:00:00+00,0.00421200000000000000
BTC,2023-09-21 00:00:00+00,0.00406100000000000000
BTC,2023-09-22 00:00:00+00,0.00429700000000000000
BTC,2023-09-23 00:00:00+00,0.00379600000000000000
BTC,2023-09-24 00:00:00+00,0.00381000000000000000
BTC,2023-09-25 00:00:00+00,0.00390400000000000000
BTC,2023-09-26 00:00:00+00,0.00390100000000000000
BTC,2023-09-27 00:00:00+00,0.00389100000000000000
BTC,2023-09-28 00:00:00+00,0.00395000000000000000
BTC,2023-09-29 00:00:00+00,0.00365400000000000000
BTC,2023-09-30 00:00:00+00,0.00374100000000000000
BTC,2023-10-01 00:00:00+00,0.00375100000000000000
BTC,2023-10-02 00:00:00+00,0.00370600000000000000
BTC,2023-10-03 00:00:00+00,0.00375800000000000000
BTC,2023-10-04 00:00:00+00,0.00388500000000000000
BTC,2023-10-05 00:00:00+00,0.00354000000000000000
BTC,2023-10-06 00:00:00+00,0.00355500000000000000
BTC,2023-10-07 00:00:00+00,0.00344300000000000000
BTC,2023-10-08 00:00:00+00,0.00351100000000000000
BTC,2023-10-09 00:00:00+00,0.00357900000000000000
BTC,2023-10-10 00:00:00+00,0.00330200000000000000
BTC,2023-10-11 00:00:00+00,0.00347000000000000000
BTC,2023-10-12 00:00:00+00,0.00351600000000000000
BTC,2023-10-13 00:00:00+00,0.00344200000000000000
BTC,2023-10-14 00:00:00+00,0.00351700000000000000
BTC,2023-10-15 00:00:00+00,0.00351500000000000000
BTC,2023-10-16 00:00:00+00,0.00344700000000000000
BTC,2023-10-17 00:00:00+00,0.00346800000000000000
BTC,2023-10-18 00:00:00+00,0.00336400000000000000
BTC,2023-10-19 00:00:00+00,0.00332000000000000000
BTC,2023-10-20 00:00:00+00,0.00326300000000000000
BTC,2023-10-21 00:00:00+00,0.00328700000000000000
BTC,2023-10-22 00:00:00+00,0.00325800000000000000
BTC,2023-10-23 00:00:00+00,0.00328600000000000000
BTC,2023-10-24 00:00:00+00,0.00349800000000000000
BTC,2023-10-25 00:00:00+00,0.00360500000000000000
BTC,2023-10-26 00:00:00+00,0.00349100000000000000
BTC,2023-10-27 00:00:00+00,0.00344200000000000000
BTC,2023-10-28 00:00:00+00,0.00339900000000000000
BTC,2023-10-29 00:00:00+00,0.00340800000000000000
BTC,2023-10-30 00:00:00+00,0.00341300000000000000
BTC,2023-10-31 00:00:00+00,0.00401600000000000000
BTC,2023-11-01 00:00:00+00,0.00400100000000000000
BTC,2023-11-02 00:00:00+00,0.00400000000000000000
BTC,2023-11-03 00:00:00+00,0.00372900000000000000
BTC,2023-11-04 00:00:00+00,0.00378500000000000000
BTC,2023-11-05 00:00:00+00,0.00374500000000000000
BTC,2023-11-06 00:00:00+00,0.00375400000000000000
BTC,2023-11-07 00:00:00+00,0.00370500000000000000
BTC,2023-11-08 00:00:00+00,0.00376100000000000000
BTC,2023-11-09 00:00:00+00,0.00374900000000000000
BTC,2023-11-10 00:00:00+00,0.00376800000000000000
BTC,2023-11-11 00:00:00+00,0.00376000000000000000
BTC,2023-11-12 00:00:00+00,0.00377600000000000000
BTC,2023-11-13 00:00:00+00,0.00373900000000000000
BTC,2023-11-14 00:00:00+00,0.00362200000000000000
BTC,2023-11-15 00:00:00+00,0.00367000000000000000
BTC,2023-11-16 00:00:00+00,0.00367000000000000000
BTC,2023-11-17 00:00:00+00,0.00371800000000000000
BTC,2023-11-18 00:00:00+00,0.00367400000000000000
BTC,2023-11-19 00:00:00+00,0.00376700000000000000
BTC,2023-11-20 00:00:00+00,0.00370900000000000000
BTC,2023-11-21 00:00:00+00,0.00375600000000000000
BTC,2023-11-22 00:00:00+00,0.00374400000000000000
BTC,2023-11-23 00:00:00+00,0.00370500000000000000
BTC,2023-11-24 00:00:00+00,0.00372300000000000000
BTC,2023-11-25 00:00:00+00,0.00338900000000000000
BTC,2023-11-26 00:00:00+00,0.00338900000000000000
BTC,2023-11-27 00:00:00+00,0.00342600000000000000
BTC,2023-11-28 00:00:00+00,0.00338200000000000000
BTC,2023-11-29 00:00:00+00,0.00343700000000000000
BTC,2023-11-30 00:00:00+00,0.00347100000000000000
BTC,2023-12-01 00:00:00+00,0.00342400000000000000
BTC,2023-12-02 00:00:00+00,0.00346200000000000000
BTC,2023-12-03 00:00:00+00,0.00346200000000000000
BTC,2023-12-04 00:00:00+00,0.00343400000000000000
BTC,2023-12-05 00:00:00+00,0.00345800000000000000
BTC,2023-12-06 00:00:00+00,0.00345600000000000000
BTC,2023-12-07 00:00:00+00,0.00343200000000000000
BTC,2023-12-08 00:00:00+00,0.00343300000000000000
BTC,2023-12-09 00:00:00+00,0.00343700000000000000
BTC,2023-12-10 00:00:00+00,0.00337200000000000000
BTC,2023-12-11 00:00:00+00,0.00337200000000000000
BTC,2023-12-12 00:00:00+00,0.00334800000000000000
BTC,2023-12-13 00:00:00+00,0.00322700000000000000
BTC,2023-12-14 00:00:00+00,0.00333400000000000000
BTC,2023-12-15 00:00:00+00,0.00341600000000000000
BTC,2023-12-16 00:00:00+00,0.00337800000000000000
BTC,2023-12-17 00:00:00+00,0.00336200000000000000
BTC,2023-12-18 00:00:00+00,0.00336200000000000000
BTC,2023-12-19 00:00:00+00,0.00329800000000000000
BTC,2023-12-20 00:00:00+00,0.00333800000000000000
BTC,2023-12-21 00:00:00+00,0.00336200000000000000
BTC,2023-12-22 00:00:00+00,0.00332100000000000000
BTC,2023-12-23 00:00:00+00,0.00328100000000000000
BTC,2023-12-24 00:00:00+00,0.00331800000000000000
BTC,2023-12-25 00:00:00+00,0.00331800000000000000
BTC,2023-12-26 00:00:00+00,0.00314100000000000000
BTC,2023-12-27 00:00:00+00,0.00315000000000000000
BTC,2023-12-28 00:00:00+00,0.00314100000000000000
BTC,2023-12-29 00:00:00+00,0.00317700000000000000
BTC,2023-12-30 00:00:00+00,0.00312900000000000000
BTC,2023-12-31 00:00:00+00,0.00312200000000000000
DOGE,2023-08-01 00:00:00+00,0.01184500000000000000
DOGE,2023-08-02 00:00:00+00,0.01184500000000000000
DOGE,2023-08-03 00:00:00+00,0.01199600000000000000
DOGE,2023-08-04 00:00:00+00,0.01128000000000000000
DOGE,2023-08-05 00:00:00+00,0.01189500000000000000
DOGE,2023-08-06 00:00:00+00,0.01216700000000000000
DOGE,2023-08-07 00:00:00+00,0.01211600000000000000
DOGE,2023-08-08 00:00:00+00,0.01214300000000000000
DOGE,2023-08-09 00:00:00+00,0.01179000000000000000
DOGE,2023-08-10 00:00:00+00,0.01204000000000000000
DOGE,2023-08-11 00:00:00+00,0.01191500000000000000
DOGE,2023-08-12 00:00:00+00,0.01191500000000000000
DOGE,2023-08-13 00:00:00+00,0.01165000000000000000
DOGE,2023-08-14 00:00:00+00,0.01190700000000000000
DOGE,2023-08-15 00:00:00+00,0.01200800000000000000
DOGE,2023-08-16 00:00:00+00,0.01172900000000000000
DOGE,2023-08-17 00:00:00+00,0.01120100000000000000
DOGE,2023-08-18 00:00:00+00,0.01054100000000000000
DOGE,2023-08-19 00:00:00+00,0.00917200000000000000
DOGE,2023-08-20 00:00:00+00,0.01231400000000000000
