symbol,ts_utc,funding_close
BNB,2023-10-10 00:00:00+00,-0.008428
BNB,2023-10-11 00:00:00+00,-0.000678
BNB,2023-10-12 00:00:00+00,0.000965
BNB,2023-10-13 00:00:00+00,0.002682
BNB,2023-10-14 00:00:00+00,0.003215
BNB,2023-10-15 00:00:00+00,-0.001413
BNB,2023-10-16 00:00:00+00,0.011527
BNB,2023-10-17 00:00:00+00,0.000247
BNB,2023-10-18 00:00:00+00,-0.001053
BNB,2023-10-19 00:00:00+00,0.006715
BNB,2023-10-20 00:00:00+00,-0.000148
BNB,2023-10-21 00:00:00+00,0.011396
BNB,2023-10-22 00:00:00+00,0.014723
BNB,2023-10-23 00:00:00+00,0.016972
BNB,2023-10-24 00:00:00+00,0.012656
BNB,2023-10-25 00:00:00+00,0.016843
BNB,2023-10-26 00:00:00+00,0.011378
BNB,2023-10-27 00:00:00+00,0.008783
BNB,2023-10-28 00:00:00+00,0.004975
BNB,2023-10-29 00:00:00+00,0.014684
BNB,2023-10-30 00:00:00+00,0.017005
BNB,2023-10-31 00:00:00+00,0.006438
BNB,2023-11-01 00:00:00+00,0.04106
BNB,2023-11-02 00:00:00+00,0.028317
BNB,2023-11-03 00:00:00+00,0.013154
BNB,2023-11-04 00:00:00+00,0.004113
BNB,2023-11-05 00:00:00+00,0.013638
BNB,2023-11-06 00:00:00+00,0.035127
BNB,2023-11-07 00:00:00+00,0.025774
BNB,2023-11-08 00:00:00+00,0.003559
BNB,2023-11-09 00:00:00+00,0.000692
BNB,2023-11-10 00:00:00+00,0.020962
BNB,2023-11-11 00:00:00+00,0.012114
BNB,2023-11-12 00:00:00+00,0.026358
BNB,2023-11-13 00:00:00+00,0.011408
BNB,2023-11-14 00:00:00+00,0.014451
BNB,2023-11-15 00:00:00+00,0.018608
BNB,2023-11-16 00:00:00+00,0.012101
BNB,2023-11-17 00:00:00+00,0.010941
BNB,2023-11-18 00:00:00+00,0.004622
BNB,2023-11-19 00:00:00+00,0.001738
BNB,2023-11-20 00:00:00+00,0.031674
BNB,2023-11-21 00:00:00+00,0.013375
BNB,2023-11-22 00:00:00+00,0.004578
BNB,2023-11-23 00:00:00+00,0.001036
BNB,2023-11-24 00:00:00+00,0.00164
BNB,2023-11-25 00:00:00+00,0.015611
BNB,2023-11-26 00:00:00+00,0.003359
BNB,2023-11-27 00:00:00+00,0.01448
BNB,2023-11-28 00:00:00+00,0.024255
BNB,2023-11-29 00:00:00+00,0.015871
BNB,2023-11-30 00:00:00+00,0.026028
BNB,2023-12-01 00:00:00+00,0.017015
BNB,2023-12-02 00:00:00+00,0.017914
BNB,2023-12-03 00:00:00+00,0.033445
BNB,2023-12-04 00:00:00+00,0.022702
BNB,2023-12-05 00:00:00+00,0.021557
