symbol,ts_utc,long_qty,short_qty
BTC,2022-03-16 00:00:00+00,44528.14,1576.34
BTC,2022-03-17 00:00:00+00,44741.59,1482.85
BTC,2022-03-18 00:00:00+00,44907.16,1363.8
BTC,2022-03-19 00:00:00+00,45131.81,1227.3
BTC,2022-03-20 00:00:00+00,45131.81,1227.3
BTC,2022-03-21 00:00:00+00,44683.56,1064.35
BTC,2022-03-22 00:00:00+00,44652.59,1064.78
BTC,2022-03-23 00:00:00+00,44833.07,1015.54
BTC,2022-03-24 00:00:00+00,44971.91,1041.12
BTC,2022-03-25 00:00:00+00,44934.91,984.03
BTC,2022-03-26 00:00:00+00,44919.71,1000.91
BTC,2022-03-27 00:00:00+00,44489.28,999.43
BTC,2022-03-28 00:00:00+00,43772.08,1012.76
BTC,2022-03-29 00:00:00+00,43147.86,930.5
BTC,2022-03-30 00:00:00+00,42817.99,949.97
BTC,2022-03-31 00:00:00+00,41800.06,1125.08
BTC,2022-04-01 00:00:00+00,41055.99,837.22
BTC,2022-04-02 00:00:00+00,41100.16,904.77
BTC,2022-04-03 00:00:00+00,41051.42,855.09
BTC,2022-04-04 00:00:00+00,40505.52,866.08
BTC,2022-04-05 00:00:00+00,40603.04,945.57
BTC,2022-04-06 00:00:00+00,40273.87,863.8
BTC,2022-04-07 00:00:00+00,40116.37,948.74
BTC,2022-04-08 00:00:00+00,40161.62,981.67
